Price,Close,High,Low,Open,Volume
Ticker,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
Date,,,,,
2017-09-05,259.2156982421875,262.36647443267174,258.4844858372385,260.2792400882566,214578
2017-09-06,258.0457763671875,261.5820955848883,257.64694209150406,257.91283972293047,265704
2017-09-07,266.1022644042969,266.9530979746805,259.242309199961,259.6943327914137,606105
2017-09-08,264.61328125,268.01666421655165,261.9942756952803,267.21899557305,237954
2017-09-11,271.9118957519531,273.77313036762445,265.6236106951929,266.95305008186625,451338
2017-09-12,272.1777648925781,274.8765414143681,269.87782257935714,272.2575366028736,221190
2017-09-13,271.0743713378906,275.19565074684846,270.14374179757806,271.2073079824014,258432
2017-09-14,273.959228515625,274.37135395346445,268.5483598832187,271.2338451860545,206691
2017-09-15,270.8616638183594,272.53674831034675,269.87786935432433,272.53674831034675,117861
2017-09-18,270.68878173828125,273.8661641732297,269.93098700619765,272.5367005851149,128328
2017-09-19,270.87493896484375,273.86619586994175,269.0934760511973,270.6888130672495,116703
2017-09-20,270.5558776855469,276.2592275318765,269.8778788639056,270.87496459327605,234309
2017-09-21,269.8512878417969,273.5471508719535,269.08022601745824,270.6755632777536,124311
2017-09-22,265.929443359375,269.34611773382244,265.62367198645586,267.48490703159734,137019
2017-09-25,260.2792053222656,266.15536452282913,258.0058697156265,265.8894912682813,246168
2017-09-26,260.079833984375,262.7520286289649,259.4815825419853,261.10352652615614,135591
2017-09-27,259.7474670410156,262.43295278047503,258.90992480122156,261.6352842309903,91740
2017-09-28,261.4624328613281,262.4329360260182,258.44459353322156,260.5717014150762,85839
2017-09-29,259.6012268066406,262.16704266718193,258.71049534593203,261.90116939195417,130479
2017-10-03,262.19366455078125,262.9647263047877,260.57172063262203,261.2098700842804,74853
2017-10-04,261.78155517578125,264.0283333198499,260.5717609224044,262.6988936329476,75669
2017-10-05,261.9809265136719,263.23061858820716,259.92029901090757,261.79482495125444,102912
2017-10-06,260.079833984375,263.2306346514594,258.1787254680865,263.2306346514594,150051
2017-10-09,261.7416687011719,262.53933734295583,260.55845697013706,260.55845697013706,76809
2017-10-10,264.61328125,267.9634749469578,260.8376464250369,262.9647546934029,253251
2017-10-11,262.1138916015625,266.6739033247674,260.2792393223949,265.8895260012792,146484
2017-10-12,260.7179870605469,263.21734705372234,260.03996388123085,262.11390711205655,130053
2017-10-13,259.8804016113281,262.4063682264828,259.5081741426743,261.10351122891433,136515
2017-10-16,259.0960693359375,261.9012006909092,258.32498319122254,260.57173678424607,123018
2017-10-17,258.6041564941406,260.3989107513991,257.64694448643775,259.2422816040009,1093017
2017-10-18,256.6099853515625,259.37521850661045,256.3175052568585,258.6041567504932,205605
2017-10-19,258.61749267578125,259.2423266639885,257.91288694924793,259.0030357919269,38100
2017-10-23,257.6203308105469,259.24225019210104,257.2480790367772,259.24225019210104,78735
2017-10-24,258.43133544921875,259.54806662184666,257.7267298079825,257.91285572723945,134952
2017-10-25,259.6543273925781,261.9011045033492,258.7104312478481,259.24220200946326,159549
2017-10-26,262.99127197265625,263.69587741169454,259.6410550732579,260.02659803209326,191064
2017-10-27,263.2040710449219,265.3577617860594,261.99427684270137,263.4965511716811,141294
2017-10-30,261.9942932128906,264.26762952453925,261.6087500970311,263.2306699558194,123417
2017-10-31,263.3502502441406,265.6236103363219,261.27630727683646,262.432936338288,147882
2017-11-01,262.4993896484375,265.3178115634393,261.9942012739166,263.49647516958515,181749
2017-11-02,261.75494384765625,263.76240656039613,260.8376298345578,262.43296702009025,132054
2017-11-03,261.78155517578125,263.4965623136722,261.1700124329479,261.90122495222295,151233
2017-11-06,263.0046081542969,265.88951088218914,260.6116026293859,265.35771564804605,181698
2017-11-07,262.4993896484375,264.02824599989447,261.1034699188308,263.20399512718797,192594
2017-11-08,260.43878173828125,264.5600611348943,260.07982115339126,262.69885074566895,169935
2017-11-09,259.8006591796875,261.5954134358916,258.5376758480545,260.57172093458746,130398
2017-11-10,258.72381591796875,259.77406659434354,258.27179235015853,258.3116903860054,93507
2017-11-13,260.0532531738281,261.6352991328022,257.38105851227317,258.9763957021073,104418
2017-11-14,258.5908508300781,262.4728395877655,257.91285200346323,260.1197318549373,106011
2017-11-15,257.1683654785156,258.444640175124,256.6498857294634,258.444640175124,119115
2017-11-16,257.2879638671875,259.7474498462565,256.9689013370974,257.9128220410552,101511
2017-11-17,255.865478515625,259.2422786213374,255.5198335041556,258.97638099049857,179613
2017-11-20,255.692626953125,257.3677356652561,255.3868556521633,257.3677356652561,123525
2017-11-21,252.86094665527344,256.8094159695481,252.32917570195391,256.8094159695481,222180
2017-11-22,252.39559936523438,255.25391960005945,251.9701826573438,252.86091410380888,169989
2017-11-23,252.31591796875,254.11067256025524,252.0234378198658,254.11067256025524,146214
2017-11-24,250.84019470214844,253.92451494197374,250.2153364412069,252.59505103363833,226515
2017-11-27,250.02920532226562,252.55514750100008,249.6702447539852,251.53147940000127,161802
